House Vote #463 2022-09-29T15:40:00 - S. 3470: End Human Trafficking in Government Contracts Act of 2022
person,state,district,vote,name,party
400004,AL,4,Yea,Rep. Robert Aderholt [R],Republican
400030,GA,2,Yea,Rep. Sanford Bishop [D],Democrat
400033,OR,3,Yea,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Yea,Rep. Kevin Brady [R],Republican
400052,TX,26,Yea,Rep. Michael Burgess [R],Republican
400057,CA,42,Yea,Rep. Ken Calvert [R],Republican
400068,TX,31,Yea,Rep. John R. Carter [R],Republican
400069,HI,1,Yea,Rep. Ed Case [D],Democrat
400071,OH,1,Yea,Rep. Steve Chabot [R],Republican
400075,SC,6,Yea,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Yea,Rep. Tom Cole [R],Republican
400081,TN,5,Yea,Rep. Jim Cooper [D],Democrat
400093,IL,7,Not Voting,Rep. Danny Davis [D],Democrat
400100,OR,4,Yea,Rep. Peter DeFazio [D],Democrat
400101,CO,1,Yea,Rep. Diana DeGette [D],Democrat
400103,CT,3,Yea,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Yea,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,Yea,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,Yea,Rep. Michael Doyle [D],Democrat
400124,CA,18,Yea,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Yea,Rep. Kay Granger [R],Republican
400158,MO,6,Yea,Rep. Sam Graves [R],Republican
400162,AZ,3,Yea,Rep. Raúl Grijalva [D],Democrat
400189,MD,5,Not Voting,Rep. Steny Hoyer [D],Democrat
400196,CA,50,Yea,Rep. Darrell Issa [R],Republican
400199,TX,18,Yea,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,Yea,Rep. Eddie Bernice Johnson [D],Democrat
400211,OH,9,Yea,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,Yea,Rep. Ron Kind [D],Democrat
400230,RI,2,Yea,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,Yea,Rep. Rick Larsen [D],Democrat
400233,CT,1,Yea,Rep. John Larson [D],Democrat
400237,CA,13,Yea,Rep. Barbara Lee [D],Democrat
